#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Impossamole (USA);Impossamole (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
J.J. & Jeff (USA);J.J. & Jeff (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
J.League Greatest Eleven (Japan);J.League Greatest Eleven (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Jack Nicklaus' Turbo Golf (USA);Jack Nicklaus' Turbo Golf (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Jackie Chan's Action Kung Fu (USA);Jackie Chan's Action Kung Fu (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Jaseiken Necromancer (Japan);Jaseiken Necromancer (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Jigoku Meguri (Japan);Jigoku Meguri (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Jinmu Denshou (Japan);Jinmu Denshou (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Juuouki (Japan);Juuouki (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Kaizou Choujin Shubibinman (Japan);Kaizou Choujin Shubibinman (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Kattobi! Takuhai-kun (Japan);Kattobi! Takuhai-kun (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Keith Courage in Alpha Zones (USA);Keith Courage in Alpha Zones (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
KickBall (Japan);KickBall (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Kiki Kaikai (Japan);Kiki Kaikai (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
King of Casino (USA);King of Casino (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Klax (USA);Klax (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Knight Rider Special (Japan);Knight Rider Special (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Kore ga Pro Yakyuu '89 (Japan);Kore ga Pro Yakyuu '89 (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Kore ga Pro Yakyuu '90 (Japan);Kore ga Pro Yakyuu '90 (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Kyuukyoku Mahjong - Idol Graphics (Japan) (Unl);Kyuukyoku Mahjong - Idol Graphics (Japan) (Unl);TurboGrafx16;;;;;;;;;;;;;;;;;;
Kyuukyoku Mahjong II (Japan) (Unl);Kyuukyoku Mahjong II (Japan) (Unl);TurboGrafx16;;;;;;;;;;;;;;;;;;
Kyuukyoku Tiger (Japan);Kyuukyoku Tiger (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Legend of Hero Tonma (USA);Legend of Hero Tonma (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Legendary Axe II (USA);Legendary Axe II (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Legendary Axe, The (USA);Legendary Axe, The (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Lode Runner - Lost Labyrinth (Japan);Lode Runner - Lost Labyrinth (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Maerchen Maze (Japan);Maerchen Maze (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Magical Chase (USA);Magical Chase (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Mahjong Gakuen - Touma Soushirou Toujou (Japan);Mahjong Gakuen - Touma Soushirou Toujou (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Mahjong Gakuen Mild - Touma Soushirou Toujou (Japan);Mahjong Gakuen Mild - Touma Soushirou Toujou (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Mahjong Gokuu Special (Japan);Mahjong Gokuu Special (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Mahjong Haouden - Kaiser's Quest (Japan);Mahjong Haouden - Kaiser's Quest (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Mahjong Shikaku Retsuden - Mahjong Wars (Japan);Mahjong Shikaku Retsuden - Mahjong Wars (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Maison Ikkoku (Japan);Maison Ikkoku (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Makai Hakkenden Shada (Japan);Makai Hakkenden Shada (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Makai Prince Dorabocchan (Japan);Makai Prince Dorabocchan (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Metal Stoker (Japan);Metal Stoker (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Military Madness (USA);Military Madness (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Mizubaku Daibouken (Japan);Mizubaku Daibouken (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Momotarou Densetsu Gaiden - Dai-1-shuu (Japan);Momotarou Densetsu Gaiden - Dai-1-shuu (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Momotarou Densetsu II (Japan);Momotarou Densetsu II (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Momotarou Densetsu Turbo (Japan);Momotarou Densetsu Turbo (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Momotarou Katsugeki (Japan);Momotarou Katsugeki (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Monster Pro Wres (Japan);Monster Pro Wres (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Morita Shougi PC (Japan);Morita Shougi PC (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Moto Roader (USA);Moto Roader (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Moto Roader II (Japan);Moto Roader II (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Mr. Heli no Daibouken (Japan);Mr. Heli no Daibouken (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
NHK Taiga Drama - Taiheiki (Japan);NHK Taiga Drama - Taiheiki (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Naxat Open (Japan);Naxat Open (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Naxat Stadium (Japan);Naxat Stadium (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Nazo no Mascarade (Japan);Nazo no Mascarade (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Necros no Yousai (Japan);Necros no Yousai (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Nekketsu Koukou Dodgeball-bu - PC Bangai Hen (Japan);Nekketsu Koukou Dodgeball-bu - PC Bangai Hen (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Nekketsu Koukou Dodgeball-bu - PC Soccer Hen (Japan);Nekketsu Koukou Dodgeball-bu - PC Soccer Hen (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
