#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Clash at Demonhead (USA);Clash At Demonhead (USA);NES;;1990;Vic Tokai;;;;;;;;clashdmn;;;;;;;
Classic Concentration (USA);Classic Concentration (USA);NES;;1990;GameTek;;;;;;;;concentr;;;;;;;
Cliffhanger (USA);Cliffhanger (USA);NES;;1993;Sony Imagesoft;;;;;;;;cliffh;;;;;;;
Clu Clu Land (World);Clu Clu Land (World);NES;;1984;Nintendo;;;;;;;;cluclu;クルクルランド;;;;;;
Cobra Command (USA);Cobra Command (USA);NES;;1988;Data East;;;;;;;;cobracom;;;;;;;
Cobra Triangle (USA);Cobra Triangle (USA);NES;cobratr;1989;Nintendo;;;;;;;;cobratru;;;;;;;
Code Name - Viper (USA);Code Name - Viper (USA);NES;;1990;Capcom;;;;;;;;cnviper;;;;;;;
Color a Dinosaur (USA);Color A Dinosaur (USA);NES;;1993;Virgin Interactive;;;;;;;;colordin;;;;;;;
Commando (USA);Commando (USA);NES;;1986;Capcom;;;;;;;;commando;;;;;;;
Conan (USA);Conan (USA);NES;;1991;Mindscape;;;;;;;;conan;;;;;;;
Conflict (USA);Conflict (USA);NES;;1990;Vic Tokai;;;;;;;;conflict;;;;;;;
Conquest of the Crystal Palace (USA);Conquest of the Crystal Palace (USA);NES;;1990;Asmik;;;;;;;;crystalp;;;;;;;
Contra (USA);Contra (USA);NES;probot;1988;Konami;;;;;;;;contra;;;;;;;
Contra Force (USA);Contra Force (USA);NES;;1992;Konami;;;;;;;;contrafc;;;;;;;
Cool World (USA);Cool World (USA);NES;;1993;Ocean;;;;;;;;coolwrld;;;;;;;
Cosmos Cop (Asia) (En) (Mega Soft) (Unl);Cosmos Cop (Asia);NES;;19??;Mega Soft;;;;;;;;cosmocop;;;;;;;
Cowboy Kid (USA);Cowboy Kid (USA);NES;;1992;Romstar;;;;;;;;cowboykd;;;;;;;
Crackout (Europe);CrackOut (Euro);NES;;1991;Palcom;;;;;;;;crackout;;;;;;;
Crash 'n' the Boys - Street Challenge (USA);Crash 'n The Boys - Street Challenge (USA);NES;;1992;American Technos;;;;;;;;crashn;;;;;;;
Crystal Mines (USA) (Unl);Crystal Mines (USA);NES;;1989;Color Dreams;;;;;;;;cmines;;;;;;;
Crystalis (USA);Crystalis (USA);NES;;1990;SNK;;;;;;;;crystal;;;;;;;
Cyber Stadium Series - Base Wars (USA);Cyber Stadium Series - Base Wars (USA);NES;;1991;Ultra Games;;;;;;;;basewars;;;;;;;
Cyberball (USA);Cyberball (USA);NES;;1991;Jaleco;;;;;;;;cyberbal;;;;;;;
Cybernoid - The Fighting Machine (USA);Cybernoid - The Fighting Machine (USA);NES;;1989;Acclaim Entertainment;;;;;;;;cybernod;;;;;;;
Dance Aerobics (USA);Dance Aerobics (USA);NES;;1989;Nintendo;;;;;;;;dancaero;;;;;;;
Danny Sullivan's Indy Heat (USA);Danny Sullivan's Indy Heat (USA);NES;indyheat;1992;Tradewest;;;;;;;;indyheatu;;;;;;;
Darkman (USA);Darkman (USA);NES;darkman;1991;Ocean;;;;;;;;darkmanu;;;;;;;
Dash Galaxy in the Alien Asylum (USA);Dash Galaxy in the Alien Asylum (USA);NES;;1990;Data East;;;;;;;;dashgalx;;;;;;;
David Crane's A Boy and His Blob - Trouble on Blobolonia (USA);David Crane's A Boy and His Blob - Trouble on Blobolonia (USA);NES;boynblob;1990;Absolute;;;;;;;;boynblobu;;;;;;;
David Crane's A Boy and His Blob - Trouble on Blobolonia (Europe) (Rev 1);David Crane's A Boy and His Blob - Trouble on Blobolonia (USA);NES;boynblob;1990;Absolute;;;;;;;;boynblobu;;;;;;;
Day Dreamin' Davey (USA);Day Dreamin' Davey (USA);NES;;1992;HAL Laboratory;;;;;;;;daydream;;;;;;;
Days of Thunder (USA);Days of Thunder (USA);NES;daysthnd;1990;Mindscape;;;;;;;;daysthndu;;;;;;;
Deadly Towers (USA);Deadly Towers (USA);NES;;1987;Brøderbund;;;;;;;;deadtow;;;;;;;
Death Race (USA) (Unl);Death Race (USA);NES;;1990;AGCI;;;;;;;;deathrac;;;;;;;
Deathbots (USA) (Rev 1) (Unl);Deathbots (USA, v1.1);NES;;1990;American Video Entertainment;;;;;;;;deathbot;;;;;;;
Defender II (USA);Defender II (USA);NES;;1988;HAL Laboratory;;;;;;;;defendr2;;;;;;;
Defender of the Crown (USA);Defender of the Crown (USA);NES;defcrown;1989;Ultra Games;;;;;;;;defcrownu;;;;;;;
Defenders of Dynatron City (USA);Defenders of Dynatron City (USA);NES;;1992;JVC;;;;;;;;defdyna;;;;;;;
Deja Vu (USA);Deja Vu (USA);NES;;1990;Kemco;;;;;;;;dejavu;;;;;;;
Demon Sword (USA);Demon Sword - Release the Power (USA);NES;;1990;Taito;;;;;;;;demnswrd;;;;;;;
Desert Commander (USA);Desert Commander (USA);NES;;1989;Kemco;;;;;;;;desertcm;;;;;;;
Destination Earthstar (USA);Destination Earthstar (USA);NES;;1990;Acclaim Entertainment;;;;;;;;earthstr;;;;;;;
Destiny of an Emperor (USA);Destiny of an Emperor (USA);NES;;1990;Capcom;;;;;;;;destempr;;;;;;;
Devil World (Europe);Devil World (Euro);NES;;1987;Nintendo;;;;;;;;devlwrld;;;;;;;
Dick Tracy (USA);Dick Tracy (USA);NES;;1990;Bandai;;;;;;;;dicktr;;;;;;;
Die Hard (USA);Die Hard (USA);NES;diehard;1992;Activision;;;;;;;;diehardu;;;;;;;
Dig Dug II - Trouble in Paradise (USA);Dig Dug II - Trouble in Paradise (USA);NES;;1989;Bandai;;;;;;;;digdug2;;;;;;;
Digger - The Legend of the Lost City (USA);Digger - The Legend of the Lost City (USA);NES;diggertr;1990;Milton Bradley;;;;;;;;digger;;;;;;;
Dirty Harry (USA);Dirty Harry (USA);NES;;1990;Mindscape;;;;;;;;dirtyhar;;;;;;;
Adventures in the Magic Kingdom (USA);Disney's Adventures in the Magic Kingdom (USA);NES;magickdm;1990;Capcom;;;;;;;;magickdmu;;;;;;;
Aladdin (Europe);Disney's Aladdin (Euro);NES;;1994;Virgin Interactive;;;;;;;;aladdin;;;;;;;
Chip 'n Dale - Rescue Rangers (USA);Disney's Chip 'n Dale Rescue Rangers (USA);NES;chipndal;1990;Capcom;;;;;;;;chipndalu;;;;;;;
Chip 'n Dale - Rescue Rangers 2 (USA);Disney's Chip 'n Dale Rescue Rangers 2 (USA);NES;chipndl2;1994;Capcom;;;;;;;;chipndl2u;;;;;;;
Darkwing Duck (USA);Disney's Darkwing Duck (USA);NES;darkwing;1992;Capcom;;;;;;;;darkwingu;;;;;;;
DuckTales 2 (USA);Disney's DuckTales 2 (USA);NES;ducktal2;1993;Capcom;;;;;;;;ducktal2u;;;;;;;
Jungle Book, The (USA);Disney's The Jungle Book (USA);NES;jungle;1994;Virgin Interactive;;;;;;;;jungleu;;;;;;;
Lion King, The (Europe);Disney's The Lion King (Euro);NES;;1994;Virgin Interactive;;;;;;;;lionking;Disney's Der König der Löwen, Disney's Il Re Leone, Disney's El Rey Leon;;;;;;
Little Mermaid, The (USA);Disney's The Little Mermaid (USA);NES;;1991;Capcom;;;;;;;;mermaid;;;;;;;
Dizzy the Adventurer (USA) (Aladdin Compact Cartridge) (Unl);Dizzy The Adventurer (USA);NES;;1991;Camerica;;;;;;;;dizzyadv;;;;;;;
Donkey Kong (World) (Rev 1);Donkey Kong (World, Rev. A);NES;;1983;Nintendo;;;;;;;;dkong;ドンキーコング;;;;;;
Donkey Kong 3 (World);Donkey Kong 3 (World);NES;;1984;Nintendo;;;;;;;;dkong3;ドンキーコング3;;;;;;
Donkey Kong Classics (USA, Europe);Donkey Kong Classics (Euro, USA);NES;;1988;Nintendo;;;;;;;;dkongcl;;;;;;;
Donkey Kong Jr. (World) (Rev 1);Donkey Kong Jr. (World, Rev. A);NES;;1983;Nintendo;;;;;;;;dkongjr;ドンキーコングJr;;;;;;
Donkey Kong Jr. Math (USA, Europe);Donkey Kong Jr. Math (Euro, USA);NES;;1985;Nintendo;;;;;;;;dkongjrm;;;;;;;
Double Dare (USA);Double Dare (USA);NES;;1990;GameTek;;;;;;;;ddare;;;;;;;
Double Dragon (USA);Double Dragon (USA);NES;ddragon;1988;Tradewest;;;;;;;;ddragonu;;;;;;;
Double Dragon II - The Revenge (USA) (Rev 1);Double Dragon II - The Revenge (USA, Rev. A);NES;ddragon2;1990;Acclaim Entertainment;;;;;;;;ddragon2u;;;;;;;
Double Dragon III - The Sacred Stones (USA);Double Dragon III - The Sacred Stones (USA);NES;ddragon3;1991;Acclaim Entertainment;;;;;;;;ddragon3u;;;;;;;
Double Dribble (USA) (Rev 1);Double Dribble (USA, Rev. A);NES;ddribble;1987;Konami;;;;;;;;ddribbleu;;;;;;;
Double Strike - Aerial Attack Force (USA) (v1.1) (Unl);Double Strike (USA, v1.1);NES;;1990;American Video Entertainment;;;;;;;;dstrike;;;;;;;
Dr. Chaos (USA);Dr. Chaos (USA);NES;;1988;FCI;;;;;;;;drchaos;;;;;;;
