#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
16BIT Rhythm Land (World) (Unl);16BIT Rhythm Land (World) (Unl);Genesis;;;;;;;;;;;;;;;;;;
Crue Ball - Heavy Metal Pinball (USA, Europe);Crüe Ball (Euro, USA);Genesis;;1992;;;;;;;;;crueball;Crue Ball - Heavy Metal Pinball (Box);;;;;;
CutThroat Island (USA, Europe);CutThroat Island (Euro, USA);Genesis;;1995;;;2;;;;;;cutthr;Cutthroat Island;;;;;;
Cyber-Cop (USA);Cyber-Cop (USA);Genesis;corporat;1992;;;;;;;;;cybercop;Cyber-Cop;;;;;;
Cyberball (World);Cyberball - Football in the 21st Century (World);Genesis;;1990;Sega;;;;;;;;cyberbal;サイバーボール;;;;;;
Cyborg Justice (USA, Europe);Cyborg Justice (Euro, USA);Genesis;;1993;;;;;;;;;cyborgj;Cyborg Justice;;;;;;
DJ Boy (USA);DJ Boy (USA);Genesis;djboy;1990;;;;;;;;;djboyu;DJ Boy;;;;;;
Daffy Duck in Hollywood (Europe) (En,Fr,De,Es,It);Daffy Duck in Hollywood (Euro);Genesis;;1994;;;1;;;;;;daffy;Daffy Duck in Hollywood;;;;;;
Daimakaimura ~ Ghouls'n Ghosts (World) (Rev A);Daimakaimura ~ Ghouls'n Ghosts (World) (Rev A);Genesis;;;;;;;;;;;;;;;;;;
Darius (World) (Genesis Mini, Mega Drive Mini);Darius (World) (Genesis Mini, Mega Drive Mini);Genesis;;;;;2;;;;;;;Darius;;;;;;
Dark Castle (USA, Europe);Dark Castle (Euro, USA);Genesis;;1991;;;;;;;;;darkcstl;Dark Castle;;;;;;
Dashin' Desperadoes (USA);Dashin' Desperadoes (USA);Genesis;;1993;;;;;;;;;dashdes;Dashin' Desperadoes;;;;;;
David Crane's Amazing Tennis (USA);David Crane's Amazing Tennis (USA);Genesis;;1992;;;2;;;;;;amaznten;David Crane's Amazing Tennis;;;;;;
David Robinson's Supreme Court (USA, Europe);David Robinson's Supreme Court (Euro, USA);Genesis;;1992;;;;;;;;;drsc;David Robinson's Supreme Court;;;;;;
Davis Cup Tennis ~ Davis Cup World Tour (USA, Europe);Davis Cup World Tour (Euro, USA, 199307);Genesis;;1993;Tengen;;1;;;;;;daviscup;Davis Cup World Tour;;;;;;
Daze Before Christmas (Australia);Daze Before Christmas (Oceania);Genesis;;1994;;;2;;;;;;dazexmas;Daze Before Christmas;;;;;;
Deadly Moves (USA);Deadly Moves (USA);Genesis;;1992;;;1;;;;;;deadlymv;Deadly Moves;;;;;;
Death Duel (USA);Death Duel (USA);Genesis;;1992;;;1;;;;;;deathdl;Death Duel;;;;;;
Death and Return of Superman, The (USA);The Death and Return of Superman (USA);Genesis;;1995;;;1;;;;;;deathret;The Death and Return of Superman;;;;;;
DEcapAttack (USA, Europe, Korea);DecapAttack (Euro, USA, Kor);Genesis;;1991;;;1;;;;;;decapatt;Decap Attack;;;;;;
Demolition Man (USA, Europe);Demolition Man (Euro, USA);Genesis;;1995;;;1;;;;;;demoman;Demolition Man;;;;;;
Desert Demolition Starring Road Runner and Wile E. Coyote (USA, Europe);Desert Demolition (Euro, USA);Genesis;;1994;;;1;;;;;;desrtdem;Desert Demolition Starring Road Runner and Wile E. Coyote (Box);;;;;;
Desert Strike - Return to the Gulf (USA, Europe);Desert Strike - Return to the Gulf (Euro, USA);Genesis;;1992;;;1;;;;;;dstrike;Desert Strike: Return to the Gulf;;;;;;
Devilish - The Next Possession (USA);Devilish (USA);Genesis;;1992;;;1;;;;;;devilish;Devilish - The Next Possession (Box);;;;;;
Devwill Too (World) (Aftermarket) (Unl);Devwill Too (World) (Aftermarket) (Unl);Genesis;;;;;;;;;;;;;;;;;;
