#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
F-16 Fighting Falcon ~ F-16 Fighter ~ F16 Falcon Fighter (USA, Europe, Brazil);F-16 Fighting Falcon ~ F-16 Fighter ~ F16 Falcon Fighter (USA, Europe, Brazil);MasterSystem;;;;;;;;;;;;;;;;;;
F1 (Europe, Brazil);F1 (Europe, Brazil);MasterSystem;;;;;2;;;;;;;F1;;;;;;
FIFA International Soccer (Brazil) (En,Es,Pt);FIFA International Soccer (Brazil) (En,Es,Pt);MasterSystem;;;;;1;;;;;;;FIFA International Soccer;;;;;;
Fantastic Dizzy (Europe) (En,Fr,De,Es,It);Fantastic Dizzy (Europe) (En,Fr,De,Es,It);MasterSystem;;;;;1;;;;;;;Fantastic Dizzy;;;;;;
Fantasy Zone (World) (Rev 1);Fantasy Zone (World) (Rev 1);MasterSystem;;;;;1;;;;;;;Fantasy Zone (Virtual Console) ;;;;;;
Fantasy Zone - The Maze (USA, Europe, Brazil);Fantasy Zone - The Maze (USA, Europe, Brazil);MasterSystem;;;;;2;;;;;;;Fantasy Zone: The Maze;;;;;;
Fantasy Zone II (USA, Europe, Brazil);Fantasy Zone II (USA, Europe, Brazil);MasterSystem;;;;;;;;;;;;;;;;;;
Ferias Frustradas do Pica Pau (Brazil);Ferias Frustradas do Pica Pau (Brazil);MasterSystem;;;;;1;;;;;;;Ferias Frustradas do Pica-Pau;;;;;;
Fire & Forget II (Europe);Fire & Forget II (Europe);MasterSystem;;;;;1;;;;;;;Fire & Forget II;;;;;;
Fire & Ice (Brazil);Fire & Ice (Brazil);MasterSystem;;;;;1;;;;;;;Fire & Ice;;;;;;
Flash, The (Europe, Brazil);Flash, The (Europe, Brazil);MasterSystem;;;;;1;;;;;;;The Flash;;;;;;
Flintstones, The (Europe, Brazil);Flintstones, The (Europe, Brazil);MasterSystem;;;;;1;;;;;;;The Flintstones;;;;;;
Forgotten Worlds (Europe, Brazil);Forgotten Worlds (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Forgotten Worlds;;;;;;
G-LOC Air Battle (Europe, Brazil);G-LOC Air Battle (Europe, Brazil);MasterSystem;;;;;;;;;;;;G-LOC Air Battle;;;;;;
GP Rider (Europe, Brazil);GP Rider (Europe, Brazil);MasterSystem;;;;;2;;;;;;;GP Rider;;;;;;
Gain Ground (Europe, Brazil);Gain Ground (Europe, Brazil);MasterSystem;;;;;2;;;;;;;Gain Ground;;;;;;
Galaxy Force (USA);Galaxy Force (USA);MasterSystem;;;;;1;;;;;;;Galaxy Force;;;;;;
Game Box Serie Esportes Radicais (Brazil);Game Box Serie Esportes Radicais (Brazil);MasterSystem;;;;;;;;;;;;;;;;;;
Gangster Town (USA, Europe, Brazil);Gangster Town (USA, Europe, Brazil);MasterSystem;;;;;2;;;;;;;Gangster Town;;;;;;
Gauntlet (Europe, Brazil);Gauntlet (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Gauntlet;;;;;;
Geraldinho (Brazil);Geraldinho (Brazil);MasterSystem;;;;;1;;;;;;;Geraldinho;;;;;;
Ghost House (USA, Europe, Brazil);Ghost House (USA, Europe, Brazil);MasterSystem;;;;;;;;;;;;Ghost House;;;;;;
Ghostbusters (USA, Europe, Brazil);Ghostbusters (USA, Europe, Brazil);MasterSystem;;;;;1;;;;;;;Ghostbusters;;;;;;
Ghouls'n Ghosts (USA, Europe, Brazil);Ghouls'n Ghosts (USA, Europe, Brazil);MasterSystem;;;;;1;;;;;;;Ghouls'n Ghosts;;;;;;
Global Defense (USA, Europe, Brazil);Global Defense (USA, Europe, Brazil);MasterSystem;;;;;1;;;;;;;Global Defense;;;;;;
Global Gladiators (Europe, Brazil);Global Gladiators (Europe, Brazil);MasterSystem;;;;;;;;;;;;;;;;;;
Golden Axe (USA, Europe, Brazil);Golden Axe (USA, Europe, Brazil);MasterSystem;;;;;2;;;;;;;Golden Axe;;;;;;
Golden Axe Warrior (USA, Europe, Brazil);Golden Axe Warrior (USA, Europe, Brazil);MasterSystem;;;;;1;;;;;;;Golden Axe Warrior;;;;;;
Golfamania (Europe, Brazil);Golfamania (Europe, Brazil);MasterSystem;;;;;2;;;;;;;Golfamania;;;;;;
Golvellius - Valley of Doom (USA, Europe, Brazil);Golvellius - Valley of Doom (USA, Europe, Brazil);MasterSystem;;;;;1;;;;;;;Golvellius: Valley of Doom;;;;;;
Great Baseball (USA, Europe);Great Baseball (USA, Europe);MasterSystem;;;;;2;;;;;;;Great Baseball;;;;;;
Great Basketball (World);Great Basketball (World);MasterSystem;;;;;;;;;;;;Great Basketball;;;;;;
Great Football (World);Great Football (World);MasterSystem;;;;;2;;;;;;;Great Football;;;;;;
Great Golf ~ Masters Golf (World);Great Golf ~ Masters Golf (World);MasterSystem;;;;;;;;;;;;;;;;;;
Great Ice Hockey (Japan, USA);Great Ice Hockey (Japan, USA);MasterSystem;;;;;2;;;;;;;Great Ice Hockey;;;;;;
Great Soccer (Europe);Great Soccer (Europe);MasterSystem;;;;;2;;;;;;;Great Soccer (Cartridge);;;;;;
Great Volleyball (USA, Europe, Brazil);Great Volleyball (USA, Europe, Brazil);MasterSystem;;;;;2;;;;;;;Great Volleyball;;;;;;
Hang On & Astro Warrior (USA);Hang On & Astro Warrior (USA);MasterSystem;;;;;2;;;;;;;Hang-On & Astro Warrior;;;;;;
Hang On (Europe);Hang On (Europe);MasterSystem;;;;;1;;;;;;;Hang-On;;;;;;
Hang-On & Safari Hunt (USA);Hang-On & Safari Hunt (USA);MasterSystem;;;;;1;;;;;;;Hang-On & Safari Hunt;;;;;;
Heroes of the Lance (Europe, Brazil);Heroes of the Lance (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Heroes of the Lance;;;;;;
Home Alone (Europe);Home Alone (Europe);MasterSystem;;;;;1;;;;;;;Home Alone;;;;;;
Impossible Mission (Europe, Brazil);Impossible Mission (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Impossible Mission;;;;;;
Incredible Crash Dummies, The (Europe, Brazil);Incredible Crash Dummies, The (Europe, Brazil);MasterSystem;;;;;;;;;;;;;;;;;;
Incredible Hulk, The (Europe, Brazil);Incredible Hulk, The (Europe, Brazil);MasterSystem;;;;;;;;;;;;;;;;;;
Indiana Jones and the Last Crusade (Europe, Brazil);Indiana Jones and the Last Crusade (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Indiana Jones and the Last Crusade;;;;;;
James 'Buster' Douglas Knockout Boxing (USA);James 'Buster' Douglas Knockout Boxing (USA);MasterSystem;;;;;;;;;;;;James 'Buster' Douglas Knockout Boxing;;;;;;
James Bond 007 - The Duel (Europe);James Bond 007 - The Duel (Europe);MasterSystem;;;;;;;;;;;;James Bond 007: The Duel;;;;;;
James Pond 2 - Codename RoboCod (Europe, Brazil);James Pond 2 - Codename RoboCod (Europe, Brazil);MasterSystem;;;;;1;;;;;;;James Pond 2: Codename RoboCod;;;;;;
Joe Montana Football (USA, Europe, Brazil);Joe Montana Football (USA, Europe, Brazil);MasterSystem;;;;;2;;;;;;;Joe Montana Football;;;;;;
Jungle Book, The (Europe, Brazil);Jungle Book, The (Europe, Brazil);MasterSystem;;;;;;;;;;;;;;;;;;
Jurassic Park (Europe, Brazil);Jurassic Park (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Jurassic Park;;;;;;
KLAX (Europe);KLAX (Europe);MasterSystem;;;;;;;;;;;;Klax;;;;;;
Kenseiden (USA, Europe, Brazil);Kenseiden (USA, Europe, Brazil);MasterSystem;;;;;1;;;;;;;Kenseiden;;;;;;
King's Quest - Quest for the Crown (USA);King's Quest - Quest for the Crown (USA);MasterSystem;;;;;1;;;;;;;King's Quest: Quest for the Crown (1984);;;;;;
Krusty's Fun House (Europe, Brazil);Krusty's Fun House (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Krusty's Fun House;;;;;;
Kung Fu Kid (USA, Europe, Brazil);Kung Fu Kid (USA, Europe, Brazil);MasterSystem;;;;;2;;;;;;;Kung Fu Kid;;;;;;
Land of Illusion Starring Mickey Mouse (Europe, Brazil);Land of Illusion Starring Mickey Mouse (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Land of Illusion Starring Mickey Mouse;;;;;;
Laser Ghost (Europe);Laser Ghost (Europe);MasterSystem;;;;;1;;;;;;;Laser Ghost;;;;;;
Legend of Illusion Starring Mickey Mouse (Brazil);Legend of Illusion Starring Mickey Mouse (Brazil);MasterSystem;;;;;1;;;;;;;Legend of Illusion Starring Mickey Mouse;;;;;;
Lemmings (Europe, Brazil);Lemmings (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Lemmings;;;;;;
Line of Fire (Europe, Brazil);Line of Fire (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Line of Fire;;;;;;
Lion King, The (Europe, Brazil);Lion King, The (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Lion King, The;;;;;;
Lord of the Sword (USA, Europe, Brazil);Lord of the Sword (USA, Europe, Brazil);MasterSystem;;;;;1;;;;;;;Lord of the Sword;;;;;;
Lucky Dime Caper Starring Donald Duck, The (Europe, Brazil);Lucky Dime Caper Starring Donald Duck, The (Europe, Brazil);MasterSystem;;;;;;;;;;;;;;;;;;
Marble Madness (Europe);Marble Madness (Europe);MasterSystem;;;;;2;;;;;;;Marble Madness;;;;;;
Marksman Shooting & Trap Shooting & Safari Hunt (Europe);Marksman Shooting & Trap Shooting & Safari Hunt (Europe);MasterSystem;;;;;;;;;;;;;;;;;;
Marksman Shooting & Trap Shooting (USA, Brazil);Marksman Shooting & Trap Shooting (USA, Brazil);MasterSystem;;;;;1;;;;;;;Marksman Shooting & Trap Shooting;;;;;;
Master of Darkness (Europe, Brazil);Master of Darkness (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Master of Darkness;;;;;;
Masters of Combat (Europe, Brazil);Masters of Combat (Europe, Brazil);MasterSystem;;;;;2;;;;;;;Masters of Combat;;;;;;
Maze Hunter 3-D (USA, Europe, Brazil);Maze Hunter 3-D (USA, Europe, Brazil);MasterSystem;;;;;1;;;;;;;Maze Hunter 3-D;;;;;;
Mercs (Europe, Brazil);Mercs (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Mercs;;;;;;
Michael Jackson's Moonwalker (USA, Europe, Brazil);Michael Jackson's Moonwalker (USA, Europe, Brazil);MasterSystem;;;;;1;;;;;;;Michael Jackson's Moonwalker;;;;;;
Mickey's Ultimate Challenge (Brazil);Mickey's Ultimate Challenge (Brazil);MasterSystem;;;;;1;;;;;;;Mickey's Ultimate Challenge;;;;;;
Micro Machines (Europe);Micro Machines (Europe);MasterSystem;;;;;4;;;;;;;Micro Machines;;;;;;
Miracle Warriors - Seal of the Dark Lord (USA, Europe, Brazil);Miracle Warriors - Seal of the Dark Lord (USA, Europe, Brazil);MasterSystem;;;;;1;;;;;;;Miracle Warriors: Seal of the Dark Lord;;;;;;
